,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
574,털보정육식당,최신 버전 앱,서울특별시 강북구 한천로 1072 동보빌딩 1-2F,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/nF563pcPBu-d
575,남해횟집,최신 버전 앱,서울특별시 강북구 4.19로 40,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/ACBJH62m_JKX
576,삼양동우동집,최신 버전 앱,서울특별시 강북구 삼양로 162,"
라멘 / 소바 / 우동
",,https://www.mangoplate.com//restaurants/b2RuzB5W90
577,공이네파전,최신 버전 앱,서울특별시 강북구 덕릉로 96,"
일반 주점
",만원 미만,https://www.mangoplate.com//restaurants/vkoxcxGwLXcT
578,문가네정육식당,최신 버전 앱,서울특별시 강북구 한천로 1077,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/G1QuCGx0G1
579,착한낙지,최신 버전 앱,서울특별시 강북구 4.19로 84,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/si9gchLug5
580,까미노빵집,최신 버전 앱,서울특별시 강북구 4.19로 61,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/AXBCk3R0zz
581,곰이순대국,최신 버전 앱,서울특별시 강북구 삼양로30길 6,"
탕 / 찌개 / 전골
",만원 미만,https://www.mangoplate.com//restaurants/_BBbLq2j1w
582,우이동주막집,최신 버전 앱,서울특별시 강북구 삼양로 591,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/XVmhA9IxKB
583,다꼬야끼,최신 버전 앱,서울특별시 강북구 도봉로 193,만원 미만,,https://www.mangoplate.com//restaurants/52RtU7yXWkc1
584,라공방,최신 버전 앱,서울특별시 강북구 한천로139길 42 영남빌딩 103호,"
기타 중식
",만원-2만원,https://www.mangoplate.com//restaurants/P9EzHG5GD7xb
585,하프,최신 버전 앱,서울특별시 강북구 도봉로89길 5-12,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/r6oJ12ttc04Y
586,유락손칼국수,최신 버전 앱,서울특별시 강북구 삼양로 461,"
국수 / 면 요리
",,https://www.mangoplate.com//restaurants/iV7KD4KjbG
587,마루국시,최신 버전 앱,서울특별시 강북구 도봉로 242,"
퓨전 한식
",만원-2만원,https://www.mangoplate.com//restaurants/Dp12pXKUpE
588,오월식당,최신 버전 앱,서울특별시 강북구 삼양로139길 8 2F,"
정통 일식 / 일반 일식
",만원 미만,https://www.mangoplate.com//restaurants/iTU13HBSha40
589,육두막,최신 버전 앱,서울특별시 강북구 노해로 38,"
고기 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/oTEKZKREEuXv
590,싱싱오징어바다,최신 버전 앱,서울특별시 강북구 도봉로8길 25,"
해산물 요리
",,https://www.mangoplate.com//restaurants/tw24i1JQeX
591,오늘와인한잔,최신 버전 앱,서울특별시 강북구 도봉로10가길 12,"
칵테일 / 와인
",만원 미만,https://www.mangoplate.com//restaurants/aHMxdDm7pEiZ
592,335식당,최신 버전 앱,서울특별시 강북구 도봉로87길 43,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/XSO8lgf5sWi3
593,토핑빨,최신 버전 앱,서울특별시 강북구 도봉로 290 1F 109호,"
기타 양식
",만원-2만원,https://www.mangoplate.com//restaurants/1wrbUYHLUWQo
594,지동닭갈비,최신 버전 앱,서울특별시 강북구 도봉로102길 60-7,"
닭 / 오리 요리
",만원-2만원,https://www.mangoplate.com//restaurants/nAaGJ0Gb_omd
595,대동집,최신 버전 앱,서울특별시 강북구 도봉로87길 9-8,"
일반 주점
",만원-2만원,https://www.mangoplate.com//restaurants/Q7RyOaZKn_17
596,장인,최신 버전 앱,서울특별시 강북구 솔매로 95,"
기타 한식
",,https://www.mangoplate.com//restaurants/k0xME3ySpx
597,녹베이크샵,최신 버전 앱,서울특별시 강북구 숭인로 65-3 1F,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/Ysex0Lss6qOu
598,모꼬지,최신 버전 앱,서울특별시 강북구 노해로8길 29 201호,"
일반 주점
",2만원-3만원,https://www.mangoplate.com//restaurants/dCfMfU-AollH
599,샘터마루,최신 버전 앱,서울특별시 강북구 4.19로12길 35,"
탕 / 찌개 / 전골
",만원 미만,https://www.mangoplate.com//restaurants/8SQwboPWPp
600,조연탄,"
4.5
",서울특별시 강서구 곰달래로60길 29,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/9xGdpGAUx-
601,소장식물전,"
4.4
",서울특별시 강서구 공항대로2길 36,만원 미만,"

                      식당 홈페이지로 가기
                    
",https://www.mangoplate.com//restaurants/8SZpotXhTVgI
602,영양족발순대국,"
4.3
",서울특별시 강서구 초록마을로2길 48,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/9qHLgnJtje
603,웜테이블,"
4.3
",서울특별시 강서구 공항대로49길 5-17 1F,"
이탈리안
",만원-2만원,https://www.mangoplate.com//restaurants/HaBW5K2AMYM3
604,원조나주곰탕,"
4.2
",서울특별시 강서구 양천로14길 10,"
탕 / 찌개 / 전골
",만원-2만원,https://www.mangoplate.com//restaurants/4Vzg7olJy3
605,주방문,"
4.2
",서울특별시 강서구 마곡중앙로 171 207호,"
일반 주점
",만원-2만원,https://www.mangoplate.com//restaurants/tMIfKKsCm9qJ
606,형제돈부리,"
4.1
",서울특별시 강서구 마곡중앙로 161-8 두산더랜드파크 A동 221호,"
돈부리 / 일본 카레 / 벤토
",만원 미만,https://www.mangoplate.com//restaurants/2UXDxRKi86_J
607,금고깃집,"
4.1
","서울특별시 강서구 마곡동로 61 109호, 203-205호","
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/POFrRq_mT1SJ
608,자이온,"
4.1
",서울특별시 강서구 공항대로61길 10-11,"
브런치 / 버거 / 샌드위치
",만원 미만,https://www.mangoplate.com//restaurants/tVD0FPJEe0q9
609,랑 월,"
4.1
",서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 206호,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/KqoyCW483zDy
610,OBPC,"
4.1
",서울특별시 강서구 마곡중앙6로 63 108호,"
기타 양식
",만원-2만원,https://www.mangoplate.com//restaurants/5HrumCmg_sK8
611,발산삼계탕,"
4.0
",서울특별시 강서구 강서로 344,"
탕 / 찌개 / 전골
",만원-2만원,https://www.mangoplate.com//restaurants/MX7DwkJPRH
612,코끼리탭룸,"
4.0
",서울특별시 강서구 공항대로 195 힐스테이트에코동익 101동 1F 130호,"
치킨 / 호프 / 펍
",만원-2만원,https://www.mangoplate.com//restaurants/MwuyMzGGW9Y4
613,스즈란테이,"
4.0
",서울특별시 강서구 공항대로 269-15 힐스테이트에코마곡 212호,"
정통 일식 / 일반 일식
",만원-2만원,https://www.mangoplate.com//restaurants/Prw81RG2pXlP
614,고양이똥,"
4.0
",서울특별시 강서구 공항대로59가길 13,"
브런치 / 버거 / 샌드위치
",만원-2만원,https://www.mangoplate.com//restaurants/goeSeWVKZp
615,광주똑순이,"
4.0
",서울특별시 강서구 강서로 375-8 정호빌딩 1F,"
해산물 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/BOD-qlKuAf
616,배진수스시,"
4.0
",서울특별시 강서구 마곡중앙6로 76-3 1F,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/wICBqHKBFg9i
617,충북식당,"
4.0
",서울특별시 강서구 강서로45가길 9,"
고기 요리
",만원 미만,https://www.mangoplate.com//restaurants/fWrJcvMIykcQ
618,마부자생삼겹살,"
3.9
",서울특별시 강서구 마곡중앙5로 6 121호,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/2LbtRZVu0EJT
619,등촌최월선칼국수,"
3.9
",서울특별시 강서구 화곡로64길 68,"
국수 / 면 요리
",만원 미만,https://www.mangoplate.com//restaurants/ORiGuyC8Gn
620,고성막국수,"
3.9
",서울특별시 강서구 방화대로49길 6-7,"
국수 / 면 요리
",만원 미만,https://www.mangoplate.com//restaurants/HcLg6DXr_Z
621,타르데마,"
3.9
",서울특별시 강서구 강서로46길 9,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/rMfTJTSKPRmf
622,나인바이츠 (휴업중),"
3.9
",서울특별시 강서구 공항대로 269-15 힐스테이트에코 2F 217호,"
브런치 / 버거 / 샌드위치
",만원-2만원,https://www.mangoplate.com//restaurants/BKc_G73ylbLz
623,옛날한우곱창전문,"
3.9
",서울특별시 강서구 공항대로59길 36,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/UeMLbg6MrN
624,떼헤브,"
3.9
",서울특별시 강서구 마곡서로 175,만원 미만,"

                      식당 홈페이지로 가기
                    
",https://www.mangoplate.com//restaurants/jqMAPk9ZHOFL
625,배진수어시장,"
3.9
",서울특별시 강서구 마곡중앙6로 66 B1,"
해산물 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/ISXhAWEo1tJJ
626,카페우드진,"
3.9
",서울특별시 강서구 마곡중앙6로 45,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/fR_Mns0FKRU0
627,동양식당,"
3.9
",서울특별시 강서구 마곡중앙5로1길 20 2F,"
퓨전 한식
",만원 미만,https://www.mangoplate.com//restaurants/rgR1hjlo6dDN
628,냐항바바바,"
3.9
",서울특별시 강서구 화곡로64길 16,"
베트남 음식
",만원 미만,https://www.mangoplate.com//restaurants/BX6mUwKU00hi
629,브레드더밀,"
3.9
",서울특별시 강서구 강서로 471 엠코지니어스타 A108호,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/BywD_k6JhrXs
630,마므레 크로와상,"
3.9
",서울특별시 강서구 공항대로 269-15,만원 미만,10:30 - 21:00,https://www.mangoplate.com//restaurants/Gmc2DxOxBt_3
631,고양이똥3,"
3.9
",서울특별시 강서구 공항대로45길 30,"
카페 / 디저트
",주차공간없음 ,https://www.mangoplate.com//restaurants/9VXY3W9iqunu
632,헤리스헤이스,"
3.9
",서울특별시 강서구 마곡동로3길 26 103호,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/UDGbMxnZ8iob
633,익스큐즈미,"
3.9
",서울특별시 강서구 마곡동로 56 건와빌딩,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/o1PqIZk_ps9k
634,스시사라,"
3.8
",서울특별시 강서구 마곡동로 55 1F 101호,"
회 / 스시
",4만원 이상,https://www.mangoplate.com//restaurants/SgHnz6uasRY_
635,레피큐르,"
3.8
",서울특별시 강서구 공항대로 247 퀸즈파크9 A동 205호,"
프랑스 음식
",2만원-3만원,https://www.mangoplate.com//restaurants/J-_0QIeS2DGr
636,홍린,"
3.8
",서울특별시 강서구 우장산로15길 25,"
정통 중식 / 일반 중식
",만원-2만원,https://www.mangoplate.com//restaurants/TWL2oohJBz
637,나오키,"
3.7
",서울특별시 강서구 강서로56가길 45 1F,"
회 / 스시
",4만원 이상,https://www.mangoplate.com//restaurants/UEfXcegzKVt1
638,더블랙,"
3.7
",서울특별시 강서구 공항대로 269-15 힐스테이트 에코마곡 2F 214호,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/pwXClztNzEna
639,피슈마라홍탕,"
3.7
",서울특별시 강서구 마곡중앙8로 86 2F 210호,"
기타 중식
",만원-2만원,https://www.mangoplate.com//restaurants/TS725r_objJb
640,코끼리만두,"
3.7
",서울특별시 강서구 공항대로51길 27,"
한정식 / 백반 / 정통 한식
",만원 미만,https://www.mangoplate.com//restaurants/nPXEXVXkba
641,닥터로빈,"
3.7
",서울특별시 강서구 공항대로 396 귀뚜라미사옥빌딩,"
이탈리안
",만원-2만원,https://www.mangoplate.com//restaurants/_tgAYehd_t
642,옥소반,"
3.7
",서울특별시 강서구 마곡중앙6로 45 리더스퀘어 1F 119호,"
기타 일식
",만원-2만원,https://www.mangoplate.com//restaurants/JkaHHwhts7VZ
643,뚜스뚜스,"
3.7
",서울특별시 강서구 공항대로45길 92,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/iRMvnyPMJTYW
644,오프닛,"
3.7
",서울특별시 강서구 강서로56길 17,"
브런치 / 버거 / 샌드위치
",만원-2만원,https://www.mangoplate.com//restaurants/TjUFjW70knck
645,후라토식당,"
3.7
",서울특별시 강서구 공항대로 269-15 2F 211호,"
정통 일식 / 일반 일식
",만원-2만원,https://www.mangoplate.com//restaurants/IsYRmtkZ6ijJ
646,맹순이꽃게아구찜,"
3.7
",서울특별시 강서구 공항대로 272,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/t3mUdFRHroAE
647,바스버거,"
3.7
",서울특별시 강서구 마곡동로 62 마곡사이언스타워 1F,"
브런치 / 버거 / 샌드위치
",만원 미만,https://www.mangoplate.com//restaurants/TuRNSYEFfc-F
648,저스트텐동,"
3.7
",서울특별시 강서구 마곡중앙6로 42 사이언스타 1F,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/9xJWvy2P7jz7
649,카이조쿠,"
3.6
",서울특별시 강서구 마곡중앙6로 16 마곡지엠지타워 108호,"
라멘 / 소바 / 우동
",만원 미만,https://www.mangoplate.com//restaurants/sCJZprrkdTN2
650,똑순이막국수,"
3.6
",서울특별시 강서구 강서로47길 19 발산상가,"
국수 / 면 요리
",만원 미만,https://www.mangoplate.com//restaurants/fhidOJQDp6
