,0
프랑세즈,3.7
나귀와플라타너스,3.0
터방내,2.87
거구장,2.4
진상천,3.22
대박,3.0
장독대,3.93
해랑,2.78
미니자이언트,3.17
준호가만드는즉석떡볶이,2.91
커리야,3.6
오후홍콩,3.04
피자보이시나,3.54
사과나무왕돈까스,3.36
별버거,3.4
테이스티버거,3.47
맛이차이나,3.67
오츠에스프레소,3.27
아소토,3.5
육지,3.33
어반플랜트,3.53
오레노라멘,3.71
야키토리나루토,2.86
카와카츠,3.53
멘야준,3.27
하연옥,3.8
바다회사랑,3.5
아날로그가든,3.78
중화복춘,3.0
랫댓,3.22
랜디스도넛,3.14
몽중식,2.89
홈보이서울,3.29
온정,3.2
베르데,3.47
스시올로지,2.79
228-9 (휴업중),3.33
소이연남,3.72
상해소흘,3.13
과일가게,3.6
뭄미,2.0
망원동즉석우동,3.33
강화통통생고기,4.12
홍어한마리,3.0
카밀로라자네리아,3.4
첸토페르첸토,3.87
쿠리노키제빵,3.83
Quench Coffee,3.27
츄이구이브레드,3.6
남북통일,3.13
리밀커피&밀리,4.2
아각아각,3.2
17도씨,3.13
해피버거데이,3.6
하나라멘,3.0
코코시에나티하우스,3.1
수부니흐,3.07
연어롭다,3.0
리틀파파포,3.33
혼네,3.62
우주옥,3.6
아꽁뜨,3.14
라멘집아저씨,2.92
이요이요스시,3.06
후엘고,3.33
비파티세리,3.33
고도식,1.5
어수선,3.67
단고당,3.3
커피가게동경,3.4
미완성식탁,3.0
일등식당,3.67
녹기전에,3.6
엘리스리틀이태리,3.46
탑클라우드23,3.33
돈카츠준,3.14
계고기집,3.33
고메오드,3.92
기노,3.4
프릳츠커피컴퍼니,3.25
조용한저녁,3.73
산울림1992 (휴업중),3.13
연남살롱,3.64
티크닉,3.07
얼스어스,3.9
요코쵸,3.2
야키토리 미식,2.8
야경,3.47
포가,3.25
전주상회,4.43
오복수산,3.23
코메아벨렘,2.8
사월의물고기,3.67
르규옹,3.8
소점,3.4
파롤앤랑그,3.88
교다이야,3.5
을밀대,3.22
옥정,4.0
김광석 신촌칼국수,3.27
평안도상원냉면,3.0
쿠차라,3.41
카와카츠오토코,2.93
손오공 마라탕,3.4
합정옥,3.6
파이리퍼블릭,3.71
더다이닝랩,3.0
오스테리아샘킴,3.13
스파카나폴리,3.53
쿠이신보,3.44
요요스시,3.21
옥동식,3.2
세상끝의라멘,3.93
태양커피,3.15
듁스커피,3.4
카페비하인드,3.33
빠넬로,3.53
사루카메,3.33
헬로인디아,3.6
제스티살룬,3.4
브레드럼,4.13
미야자키상점,3.93
1989버거스탠드,3.5
리틀빅토리,3.27
쿠루미,3.6
다엔조,3.33
연교,3.47
냉장고,3.29
상수동카스티야,3.67
뭄알로이,3.3
멘타카무쇼,3.5
예티,2.8
닭꼬얌,3.62
비스트로주라,3.33
지로우라멘,3.27
진만두,3.13
더리얼치즈버거,3.69
마시타야,4.0
아이엠어버거,3.64
쥬마뺄,3.4
하꼬,3.6
홈프롬귀,4.0
우리바다수산,3.47
너랑나랑호프,3.54
쉐시몽,3.29
멘지라멘,3.2
앤트러사이트,3.52
라바즈,3.78
헤키,3.73
소금집델리 망원,3.2
장화신은고양이,3.67
블루쿠치나,3.67
마리오파스타,2.93
키오스크,3.27
함반,4.33
퓨전선술집,3.53
둥둥막창구이,3.6
최강금돈까스,3.0
담택,3.7
조선화로구이,3.25
리치몬드과자점,3.4
칼라스커피 로스터스,3.44
진진가연,3.21
젤라떼리아 에따,3.33
온돈부리,2.71
부부 드 꼼뜨와,3.53
리플로우,3.2
Osteria Ora,3.13
진진,3.86
오흐뒤구떼,3.7
한림돈가,3.48
이치류,3.1
멘야하나비,3.64
램랜드,3.4
신세계,2.64
원마산아구찜,3.07
장가네곱창,3.8
청기와타운,3.1
원조 조박집,3.2
마루심,3.03
아키야라멘,3.23
양송이식당,4.1
우동 이요이요,3.0
토파,3.36
당도,3.27
이치젠,2.4
미에우,3.47
잇텐고,3.5
라무라,3.47
덕이손만두,3.4
프로그,3.5
천지양꼬치,2.5
세잔,3.6
과자산책,3.3
고타이,3.13
크레이지카츠,3.4
프롬하노이,2.93
복덕방,3.47
미자카야,2.47
비스트로망원,3.5
코코부코,3.13
카카오다다,3.57
라오삐약,3.33
웨스트사이드,3.67
락희안,3.81
맛있는집,3.0
텐조,3.47
망넛이네,3.67
고바우집,2.75
라구식당,3.93
벽제갈비,3.0
대명꼬기,4.2
비아 메렝게,3.0
피망과토마토,3.6
헌치브라운,3.0
초코블로썸,3.67
완차이,3.14
미스터서왕만두,3.32
문베어,3.6
가타쯔무리,3.8
에이테이블,4.0
파파브레드,3.47
디폴트벨류,3.47
만냥하우스,3.25
TMOON,3.45
가마마루이라멘,3.0
닭내장집,3.4
신흥떡볶이,3.15
타코몽,3.2
연희김밥,3.17
북성해장국,3.33
훈카츠,3.4
아콘스톨,2.83
영미김밥,4.07
야채를담다 ,4.14
탕화쿵부,3.43
호밀밭,2.79
경성팥집옥루몽,3.13
로드샌드위치,3.6
스탠바이키친,4.3
리틀쿠바,3.67
보울룸,3.4
독수리다방,3.4
웨어아위,3.53
1987피자,3.7
바틸트,3.2
대포찜닭,3.53
94단,3.0
씽킹인사이드더박스,3.4
공복식당,3.21
뉴타운,3.27
방콕익스프레스,3.67
연어초밥,3.2
통통돼지,3.27
또보겠지떡볶이집,3.47
소담식당,3.27
로실링,3.6
맘맘테이블,3.4
클로리스,3.9
칼,3.5
마이시크릿메이트샤리마,3.0
이빠네마 그릴,3.33
홋카이도부타동스미레,2.87
키친31,3.27
길상양꼬치,2.93
소신이쏘,3.0
조선의육개장,3.0
파이홀,2.64
여우골초밥,2.8
정육면체,3.33
파티오,3.33
돈불1971,3.57
통큰갈비,3.4
담산,3.21
아마,3.53
타이완소야,3.4
고래파스타,2.6
송아저씨빈대떡,3.18
딴따라김씨안씨,3.14
카라멘야,2.87
연탄생고기파는이층집,4.2
삼양양꼬치,3.67
야바이,3.2
타코로코,3.8
고삼이,3.47
네이버후드,3.33
Mr Lee,3.29
배바위양곱창,3.5
인생이막창이네,3.5
육회본가,3.73
바코드,3.2
녹스 진토닉바,3.73
김판석초밥,3.67
연희일품향,3.7
노아스로스팅,3.03
스시마쯔,3.8
우동카덴,3.73
이자카야카덴,2.93
만동제과,3.8
편의방,2.79
백색소음,4.44
연희동양꼬치,3.4
홍대삭,2.87
센트그릴 BBQ,3.47
피자앤플랫,3.67
오디너리핏,3.18
행복감,4.3
페퍼민트패티,3.0
컬러드빈,3.7
마우디,2.93
매뉴팩트커피,2.78
에브리띵베이글,3.6
폴앤폴리나,3.0
스웨이커피스테이션,3.53
크래프트비어칸,3.4
비하인드리메인,3.33
프리쏭,3.75
금옥당,3.26
콜드레시피,3.3
호천식당,2.87
목란,2.73
뉘블랑쉬베이커리,3.8
Thursday Stuffing,3.74
녹원쌈밥,3.8
고미정,2.88
파올로데마리아,3.8
리히트케이크,3.79
연남장,3.2
올레무스,3.8
주반여름,3.6
월순철판동태찜,4.0
에노테카오토,3.6
제니스카페,3.9
오향만두,3.73
연희미식,3.1
책바,3.73
떼뮤즐렛,4.07
걸리부,3.6
정리의밤,3.25
코블러 연희,3.6
진미,3.4
청송함흥냉면,3.13
르솔레이,3.27
크로키,3.36
독립문맛집,3.11
더 풍년,2.9
란주탕슉,3.0
티앙팡오후의홍차,3.73
까이식당,3.2
하늘초밥,4.0
내사랑,3.62
소바야린,2.9
삭,3.2
쏘이54,3.33
유야케도쿄,3.2
와플잇업,3.53
너스레,4.15
포케포케,3.8
63 프로방스,3.6
심플리키친,3.75
마더린러베이글,3.47
천진분식,3.27
라이프커피컴퍼니,3.4
원앤온리커피,3.46
비밀,3.2
카페페라,3.47
가미분식,3.07
세아마라탕,3.14
원즈오운베이커리,3.0
더파니니,3.0
여래여거,3.0
빵사이에낀과일,2.67
파가니니,3.0
꼬끼오분식,3.6
벨라프라하,3.47
비아37,4.4
화명당마라탕,3.47
반서울,3.3
이세계는놀이터예요,4.12
솔리드웍스,2.67
오리지날분식,3.8
컨시어지 커피,3.53
탭스터,3.5
희게,3.67
포포브레드,3.6
롱보트스모커,4.0
스시 소우카이 (휴업중),3.64
어라우즈,3.6
위드미치코,3.6
다이닝후,4.25
에뚜왈,3.22
아바이왕순대,2.5
서대문족발,3.71
안춘선갈비배추탕,3.4
슈토3 슌야,3.75
꿉당,3.38
영동설렁탕,3.1
따뚱,3.36
도마베이커리앤테스트키친,4.1
자인뭉티기,3.12
채석강,4.0
임병주산동칼국수 ,3.0
삼호복집,4.0
장꼬방,3.53
강남명전,2.89
어메이징타이,3.57
시골야채된장,3.6
진대감차돌삼합,2.89
부엉이,3.14
진동둔횟집,2.91
의정부평양면옥,3.21
테루아,3.4
상아김밥&떡볶이,3.3
꽃볶이,3.64
한성돈까스,2.96
프로간장게장,3.47
멘쇼쿠,4.0
신사 고집,4.2
파운드 로컬,3.33
쉐맘,3.6
슈엔,3.31
백년옥 ,3.47
영동족발,3.13
티에리스 티스탠드,3.2
백년옥,2.83
레프레미스,3.67
치코,3.0
태국식당356,3.79
하세담,3.57
소호정,3.47
줄리에뜨,3.6
도우룸,3.57
주,3.13
미국식,3.17
스시만,2.9
라모라,3.47
시올돈,3.27
더리버,3.8
바베큐랩,3.2
라비드쿤,3.93
소울브레드,3.9
훈우영,2.5
루스티크,3.36
캔프 치킨 (휴업중),3.73
아이스시,2.7
제주성산포바당,2.9
동신면가,3.13
서초면옥,3.0
3대삼계장인,3.53
세광양대창,3.27
스와니예,4.0
모멍데모시옹,3.64
10월19일,3.13
오프레,3.64
메종조,3.67
봉산옥,3.53
피제리아호키포키,3.0
귀일만두,2.4
카페무세띠,4.0
와일드플라워,3.62
메종엠오,3.13
리프레셔스,4.07
봇타야산,3.6
데일리소유,3.4
스바루,3.73
바른식시골보쌈감자옹심이,2.87
맛집부추곱창,3.21
카페로우슬로우,3.4
릿잇타미,3.13
민이네식빵,3.67
남궁야,2.67
키세츠스시,3.5
거북이,4.0
헬무트커피로스터스,3.4
신숙,3.73
우진가,3.55
들름집,3.5
FOURB,3.48
호호식당,2.83
카리,3.43
금강바비큐,3.09
테이블포포,3.2
타쿠미곤,2.87
볼라레,3.78
마얘,3.47
스시고,3.07
스시쇼우,3.07
밴건디 스테이크 하우스,3.67
윤,3.5
옥토스,3.83
멘카오리,3.6
아티장베이커스,3.23
오뗄두스,3.33
푸드더즈매터,3.5
브루클린더버거조인트,3.73
스시타노,3.27
카페드앙떼띠,3.4
라씨에트,3.5
영스타,2.9
한우다이닝 울릉,3.27
서초양식당,3.33
손욱정힘불끈황소곱창,3.93
우나유,2.38
아트메이저,3.53
노스티모,3.47
스시코에,3.4
백화요란골동반,3.13
스시소라,3.2
스시 윤슬,3.7
스시카루,3.7
월량,3.2
싱싱오동도산아나고꼼장어숯불구이,3.57
메를로,3.0
로리스더프라임립,3.33
오리에,3.67
이누식당,3.73
라바트리,3.25
설눈,3.27
공간21,3.54
한성양꼬치,4.0
쿤쏨차이,3.6
서관면옥,4.1
밀갸또,3.53
장티크,3.6
반티엔야오카오위,3.43
육품,3.21
모범갈빗살,3.14
낙원타코,2.87
카츠8,3.13
청류벽,3.64
서동한우,3.69
타짜도르,3.6
소브레메사,3.33
일일향,3.2
고깃집열,3.53
루엘드파리,3.53
스시마카세,3.5
더진미평냉,4.13
소울버킷,3.08
앙띠크,3.2
가츠오,3.2
고스트요거트,3.47
하레,3.27
카페 원,3.71
플레이버즈,3.6
더 마고 그릴,3.2
딤딤섬,3.67
자니로켓,2.87
르타오,3.11
비스테까,3.13
베이크,3.31
한우리,3.47
젤라띠젤라띠,3.47
차알,3.26
담은,3.2
미소의집,3.33
유나기,3.4
신이주신선물오리고기,2.56
한신치킨호프,3.6
제이에스가든,3.6
돈키,3.21
봉평고향메밀촌,3.47
갈쿠리와소쿠리,2.9
강남따로국밥,3.13
버거베어,3.73
박경자식당,3.0
한양돈까스,3.2
호피덕,3.4
코아손만두,3.47
멘야시노기,3.33
비너스본사건너편갈비살,3.2
한소반,3.73
곤드레집,3.07
다피타,3.87
스시금강,3.25
천년식향,3.6
김영모과자점,3.27
홍미단,3.07
노트르비,3.5
스시려 프리미엄,2.7
제일곱창,3.6
왕십리정부네곱창,3.5
멘텐도,2.89
피어커피로스터스,3.33
윕 성수,4.2
우오보파스타바,3.86
maat,4.0
마테오견문록,3.87
키친우라와,3.6
아니스,3.08
디핀옥수,2.8
카터알망,3.67
테이퍼드커피,3.89
패딩턴,3.62
부부요리단1탄 제주흑돼지갑오징어,3.27
일품생고기,3.6
퍼주에,3.53
오부이용,3.53
아우프글렛,3.4
도믹스,2.9
마하차이,3.87
바위파스타바,3.23
색다른면,3.79
시옹마오 (휴업중),3.17
인더매스,3.57
목포산꽃게아구찜탕 (휴업중),3.47
본앤브레드,3.4
갈십리,3.73
여우주막,3.8
삼일정,3.25
더클래식,3.18
악어떡볶이,3.6
동방양꼬치,3.36
한양대신닭발,3.78
버거쑈,2.87
팀메리,3.38
U U COFFEE,3.13
달바,3.07
뺑드미,3.27
핏제리아 달 포르노,3.56
SUSHI702,2.75
대도식당,2.6
다시올치킨,3.5
라리에또,3.2
커피식탁,3.13
얼룩,4.0
누메로도스,3.6
스시오오모토,3.78
마구로쇼쿠도,3.5
토라식당,3.6
코타티,4.43
모멘토브루어스,3.13
하루노유키,3.23
맛차차,3.7
Ndd,3.87
센터커피,3.67
하노이바게트,3.56
엘더버거,3.07
5to7,3.79
포지티브,3.33
빵의정석,4.6
이월로스터스,3.35
성수베이킹스튜디오,3.2
하프커피,3.0
더즌오이스터,3.75
유가츠,2.8
빌로우,3.07
플레이버타운,2.79
쵸리상경,3.0
낙원테산도,3.11
아울림,4.17
꾸아,3.33
라멘오야지 (휴업중),3.4
청죽골식당,3.47
정선부뚜막,3.6
하노이102,2.8
ㅊa,3.6
올드나이브스,3.6
서울앵무새,3.09
일구공,3.11
메쉬커피,3.44
다로베 (휴업중),3.69
티룸,4.0
조개도,4.0
카멜 커피,3.48
큐뮬러스,4.2
소소하게,3.7
르프리크,3.36
높은산,3.83
우콘카레,3.6
목로다방,2.0
인디카,2.8
인덱스카라멜,3.2
메이플탑,3.0
보다성수,3.0
세스크멘슬,3.27
쿠소이,3.6
레이어57,3.13
굴림,3.5
헤이보울,3.13
멜로워커피,3.6
옹근달,3.13
키베이커리,4.0
누메로뜨레쓰,3.13
오레노카츠,3.0
와하카,3.0
벱,3.0
어메이징브루잉컴퍼니,3.27
발렁스,3.33
잇샐러드,3.21
에르제,3.8
뚝도농원,2.86
에이투비,3.86
버거보이,4.4
원기옥,3.6
카모플라쥬,3.1
성수족발,2.93
어니언,3.37
프롤라,3.9
스탠드업플리즈바이턴온,4.0
로우키,3.14
카페노티드,3.45
미오도쿄다이닝,3.53
이오로비스트로,3.13
쿠나,2.7
미아논나,3.2
소바식당,3.36
도렐,3.4
오스테리아 쟌니,3.3
보이어,3.2
positive zero LOUNGE,3.13
이태리차차,3.14
오드투스윗,3.75
가조쿠,3.3
스탠서울,3.25
카페연무장,2.75
넛츠버거,3.33
백정돈공장,2.9
다포케,3.33
쓰리오브어스,3.0
성수부두,4.83
뺑드에코,3.6
소문난성수감자탕,3.4
나누리잡화점,3.22
TBD,2.57
컨템포,2.6
우동가조쿠,3.16
미도림,3.9
훼미리손칼국수,3.4
팩피,2.6
키커피 컴퍼니,3.07
몽쥬빠티세리,3.0
소랑호젠,2.75
팜티진,3.08
한냄비,3.4
티핀,3.93
밀도,3.12
미디엄스톤,4.0
카페테리아 라루나,3.4
바이 레인,2.8
녹마이,2.73
온더,3.58
프라이데이무브먼트,3.47
야마타니우동,3.31
봉순이네다락방,2.8
춘향미엔,3.86
엽기꼼닭발,3.4
돈까스전원,3.8
만나떡볶이,3.5
멘야코노하,3.14
카린지 ,3.45
로우커피스탠드,3.6
버섯집,3.8
더파머스카페,4.07
기연각,3.07
모찌모찌,3.67
스탠다드 빌라,2.8
옥수동 화덕피자,3.4
옥정김밥,3.14
제이드앤워터,2.9
마이 314,3.64
더코너키친,3.15
이스파이,3.2
로컬릿,3.67
청춘극장,3.17
만두전빵,3.47
꼬랑치킨,3.4
푸줏간생고기점,3.87
왕십리오리사냥,3.55
소미연,3.85
황산냉면,3.5
송파감자국,3.4
라쁘띠,2.67
수망,3.44
피치그레이,3.1
엄지손칼국수,3.78
장칼집,3.57
홍종흔베이커리,3.0
모범가츠,2.89
라치오,3.73
프라자손칼국수,3.75
송쉐프,3.0
그릴210버거,4.0
자몽하다,3.8
이치고,3.4
트레스드,3.07
하얼빈양꼬치,3.0
라미아파밀리아,3.6
사카바게라게라,3.12
수수앤핫커리핫도그,3.75
피제리아다븟,3.67
오로라경양식,3.57
쥬뗑뷔뜨,3.7
르빵,3.27
팻어케이크,3.71
야끼소바니주마루,3.4
씨젬므쥬르,3.5
모토쿠라시,2.87
젤라떼리아도도,3.5
바베네,3.0
벨라스 가든,3.47
그리지하우스,3.6
오스테리아세콘디,2.8
사사노하,3.12
콘메,3.87
뷰클랜드,3.65
리프커피바,2.6
라뿔,3.38
카페페퍼,3.6
프레스커피,2.67
오쓰세이로무시,3.25
도요스6가,2.8
갓잇,3.3
레브어,2.8
피자네버슬립스,2.92
단디,3.47
세련,2.8
얼터너티브,3.27
옥기린,3.22
만족오향족발,3.5
신천샤브칼국수,3.64
알라딘의양고기,2.7
부산양곱창,3.07
도삭면공방,3.0
늘푸른목장,3.07
오징어세상,3.2
흥도식당,3.0
스시야츠,4.0
유원설렁탕,3.6
미타우동,3.8
스시다원,2.92
정라멘,3.13
콰이어트 크림티,3.29
부일갈매기,3.6
코스모스시,3.6
안재식당,3.45
Murmur,2.58
연백냉면,2.91
조광 201,3.6
스시산,3.23
일도씨찜닭,2.6
뉴질랜드스토리,4.0
라이언하트,3.2
위커파크,3.07
타코비&치즈볼,3.33
효모,3.12
파오파오,3.57
홍코너,2.75
홍팥집,3.33
오향가,3.4
라오빠빠,3.73
가락골마산아구찜,3.0
무국적 식당 주철,3.6
혜영식당,3.86
진성한우곱창,3.13
밀각,3.67
함경도찹쌀순대,3.2
냠냠물고기,3.21
본투비블루,3.0
코끼리 the salad cafe,3.78
카페싱송,3.62
오린지,3.7
디저티스트,4.0
잠수교집,3.88
용기수산,3.14
온달수산,3.27
스시작,2.46
봉피양,3.83
개군할머니토종순대국,3.67
큐스시,3.2
프레드릭베이커리,2.64
할머니포장마차멸치국수,3.93
차고버거,4.0
가일,3.4
진대감,2.7
파티세리도효,3.13
미엔아이,4.0
팔각동(휴업중),3.13
오키나와블루,3.6
신양로스터스,3.9
부부횟집,3.2
바삭한식당,4.0
방이샤브샤브칼국수,3.6
옥돌현옥,3.8
초이스시,3.14
바토스,3.45
도림,3.35
콩카페,3.12
한양중식,3.3
팀호완,3.8
공주떡집,3.2
베테랑칼국수,3.14
파스퇴르 밀크바,3.23
라세느,3.07
파티세리김영모,3.27
이성당카페,4.2
길리안초콜릿카페,3.73
포숑,3.0
소울컵,2.8
바이킹스워프,3.53
파스퇴르밀크바,3.33
뉴오리진,3.33
대중음악박물관,3.23
옥인피자,3.13
가렛팝콘샵,3.6
키친205,3.0
브럭시,2.93
원조공주떡집,3.86
피에프창,3.67
시그니엘 서울 더라운지,2.53
비채나,3.1
촙촙,4.25
겟썸커피,3.07
카페 앙떼띠,4.33
해주찹쌀순대,3.67
마라고메,3.08
동래별장,3.29
별미곱창,2.67
소담정,3.33
육화식당,3.44
공룡떡볶이,3.33
더마칸,3.8
송계옥,3.64
청화초밥,3.33
니꾸바시야,3.08
서두산딤섬만두,2.67
카레바시야,3.43
츠쿠모,3.31
세이류,4.6
연어식당,3.5
시부야돈까스,3.67
라멘쨩,3.67
콩당콩당,3.13
몽중헌,3.2
라미옥,2.46
스타쉐프 바이 후남,3.2
한아람정육식당,3.0
청와옥,3.27
산들해,3.13
골든타이,2.75
정목누룽지백숙,3.55
Le Sud Seoul,3.14
살롱드쥬,3.8
렌토,2.56
육분삼십,3.47
포유티,3.07
조용,3.0
브로버거,3.0
춘향골남원추어탕,3.07
프로퍼커피바,3.33
토키야,3.18
더이탈리안클럽,3.33
이경진우렁쌈밥정식,2.8
이낙근찹쌀떡베이커리,3.93
동락,3.25
버터램,2.71
황금오리농장,3.8
착한낙지,2.8
건강한네모의하루,2.33
퍼블릭맨션,3.5
엉털네숯불꼼장어,3.27
싸가정곱창,4.0
빵카페,4.5
카페 제하,2.93
엉짱윤치킨,2.8
본빠뜨,3.0
스프링클베이글,4.0
아리네,3.8
로바타미숙,5.0
쌍둥이네수제비대합탕,3.5
일미락,3.0
에프스토리,2.8
쿠마카세,3.47
강릉스낵,3.67
삼정,2.75
고양이부엌,3.57
매드포갈릭,3.19
스시벅,4.33
c27,2.57
오모무끼,4.0
도원스타일,3.75
베즐리베이커리,2.25
엘리스파이,3.67
스쿨푸드,2.76
칸지,4.5
팔각도,3.5
알콜트리,3.6
토마틸로,2.91
코코이찌방야,2.88
곤드레밥집,4.75
스시노미찌,2.67
월촌도야지,5.0
라고파스타,2.45
파리크라상,2.0
베르비에,3.07
타르타르,3.0
훠궈야,3.13
송추가마골인어반,3.5
고래아방,4.0
일도씨닭갈비,3.19
푸오꼬,2.4
구텐,3.0
포레스트 카페,3.43
해밀,3.8
이탈리아국립피자학교,2.5
대합탕수제비포장마차,3.43
토다이U,2.8
나폴레옹과자점,2.96
잭슨피자,3.3
가정경양,2.77
다채샤브,3.0
금성수제돈까스,3.2
아재식당,3.25
평미가,3.53
억조1978,4.5
임꺽정김치찌개,3.0
빈티지오목,3.0
젠틀한식탁,3.6
좋은아침 PASTRY,2.8
린궁즈,3.67
젠틀카롱,3.0
죠스떡볶이,2.6
가랑삼계탕,3.0
달달애,3.4
우곳간,3.5
사눅 타이,3.14
초한초마,4.5
이름없는파스타,3.0
커피별녹색잔,3.0
옥천집,3.6
모모메이드,5.0
만담상점,3.5
피슈마라홍탕,3.11
씨포,3.57
가쯔레쯔,3.43
클래시빈,3.64
오목집,3.4
따순기미,3.4
와인zip,3.5
동천홍,3.0
댓짱돈까스,3.08
TOV COFFEE,4.33
히노야마,3.62
고래맥주창고,5.0
슈크레동,2.6
원조쌈밥집,3.14
오부장치킨,3.0
설악산칡냉면,2.0
커피탐이나,2.0
카페슬로웨이,4.0
강모집,4.0
신야텐야,2.37
홍가네달마을,1.5
우직,4.0
할범탕수육,3.29
골목집,2.0
동그라미곱창,3.8
오봉집,3.0
어가촌,3.0
홍마방,2.9
미시락칼국수,3.73
스시경,3.0
최고갈비,4.0
육회로,3.0
개성집,3.25
회기버거,3.0
봉평메밀막국수,2.0
피자알볼로,2.8
항아리보쌈,3.33
오카에리마카롱,5.0
이조면옥,3.29
박가네들깨칼국수,3.17
모이자포장마차로,3.75
타코벳,4.0
펍피맥,2.92
모두랑즉석떡볶이,2.0
아마또,5.0
천사곱창,3.25
마나쯔(휴업중),3.75
목동장어타운,4.0
하남돼지집,2.4
오지상노카에루,5.0
진아구,4.0
주전,3.0
김선장참치,2.5
아티제,3.0
초가집부뚜막청국장,3.0
카멜리온,3.0
한스,3.15
토겐,4.0
더아리엘,3.5
빌리지브라더,3.0
스시다마,4.18
창평가마솥순대국,4.0
아웃랜더스,3.0
크래프트한스,3.0
육즙,3.67
곱창이야기,3.31
해몽,3.0
라헬의부엌,4.5
와인ZIP,4.0
야키토리토리야,3.62
더브라운,3.33
오희,3.0
파티세리소나,3.4
밥초,2.7
아모르버터,3.67
반쌥,4.33
특별하면돼지,3.5
팔삼돼지,4.5
천미방마라탕,4.0
뉴웨이브커피로스터스,5.0
쿠마카레,3.6
코구마스시,3.5
해남뻘낙지,2.0
스시범,3.5
제주연탄고기,5.0
카페정류장,2.67
파스타농장,3.8
함가네토종순대국,3.0
니코리,2.25
훈,4.0
황소곱창구이,3.43
살구나무집칼국수,3.53
알리커피,3.5
목동찹쌀호떡,2.0
목동버거,3.6
쌍계명차티하우스,4.0
목동쿠시,3.5
언니김밥,2.33
채윤희,3.5
워킹온더클라우드,3.4
백리향,3.5
대한옥,3.27
에베레스트,3.2
아우어베이커리,3.0
포프트커피,3.68
카페1953위드오드리,2.8
그믐족발,3.5
나폴레옹제과점,3.67
카페마마스,3.08
테이스팅룸,3.71
더스테이크하우스,3.55
삼거리푸줏간 Blue,3.5
아트리오,3.3
패트릭스와플,2.79
바스버거,3.48
가양칼국수버섯매운탕,3.33
울림,2.84
서울커피,4.14
아이엠베이글,3.27
진가와,3.0
더미,3.2
배꼽집,3.0
창고43,3.56
진주집,3.6
이와타,3.2
후루룩,3.38
그린버킷,3.38
스시아라타,3.36
모던눌랑,3.0
카페진정성,2.93
경천애인2237,2.86
진진만두국,3.63
앤티크커피,3.5
은성감자탕,3.91
당산오돌,3.33
나카지마고에몽,2.9
화해당,2.88
왕왕샤브샤브,3.67
김명자굴국밥전문점,3.2
고봉삼계탕,3.0
스시미소,3.8
정인면옥,2.78
켄싱턴호텔 뉴욕뉴욕,2.6
브로드웨이,3.0
텐진라멘,3.0
우동가게,2.83
우미노미,3.53
이조보쌈,3.2
기찻길연탄불생고기,3.2
월화고기,3.58
마스터비엣,3.67
헬로포멜로,3.0
노버든,3.2
사비문,3.6
언아이콘,3.67
모닝캄커피랩,3.29
크로닉,3.25
대관원,3.1
프라우커피,3.11
욥,3.53
당산뻘,3.0
롱타임노씨,2.89
허브족발,3.87
두더지손가게,3.29
산호키,3.5
홍중샤브뷔페,2.64
호수삼계탕,3.27
올드문래,3.67
양키스 피자,4.0
웨이브스,3.73
양키스그릴,3.73
도쿄라보,4.0
쉼표말랑 ,3.07
포도술,4.33
갈빗,3.8
평화,4.0
비바리움,3.43
비어포스트바,3.2
로라멘,3.4
에프터워크클럽,3.25
카페솔트,3.2
통통,2.67
양키통닭,3.53
소문난식당,2.75
영일분식,3.8
왕기마라향과,3.45
봉선마라탕,3.27
공주칼국수,3.5
줘마양다리구이,3.29
헤비로테이트,3.67
사천요리기와집,2.6
쉐프조,3.14
숙달돼지,3.25
덕원,3.6
코끼리베이글,3.21
코끼리샌드위치,4.0
서울초밥,3.6
타이문,3.29
또순이네,3.4
플래브,3.17
동해반점,3.6
삼거리먼지막순대국,3.73
신풍낙지세상,3.5
베르두레,4.21
시즌커피앤베이크,3.67
원조우렁된장너도나도식당,3.0
오도시,3.78
까치네분식,3.5
엘카페커피로스터스,3.0
선유우동,4.0
온수반,3.68
피크니크,2.73
영원식당,3.6
아루히,3.6
신동양반점,3.57
을지다락,3.0
대오옛집,2.8
오드펠로우즈,3.3
콘디토리 오븐,3.2
로라스 블랑,3.5
미켈레 커피,2.75
번패티번,3.33
로바,2.71
효뜨,3.65
슈퍼말차,3.25
더플레이트디저트,3.6
테일러 커피,3.7
카페 레이어드,3.27
호우섬,3.43
아르켓카페,3.6
제네랄드링크샵,3.0
베즐리,2.4
크리스피프레시,4.0
더아트리움라운지,3.8
세상의모든아침,2.8
신원,2.85
피그인더가든,3.07
야마야,3.2
올라6,3.71
스시온정,3.0
그레이에스프레소,3.33
화목순대국,2.73
브레드05,2.4
파낙스,3.1
라케이브,3.86
여의도따로국밥,3.5
하쯔호,3.67
카레오,3.6
호박집,2.8
전봇대곱창,3.47
보사노바 커피로스터스,3.5
맨홀커피,2.6
서민준밀밭,3.5
오월의종,3.5
콜렉티보,3.6
커피리브레,3.13
마호가니커피,3.0
일미집,3.95
팥이재,3.43
대문점,3.0
부일갈비,3.0
커피기업,3.14
그리너리샐러드,3.8
타마스시,3.15
쿠치나후,3.3
에덴식당,3.93
어만두,3.6
오헨,3.67
그리츠,3.2
구이구이,3.13
비엣남,3.33
퍼스트플러스에이드,3.0
탭퍼블릭,3.35
오복수산참치,3.2
삼씨오화,3.6
업사이드커피,3.21
명동교자,3.56
