,0
사카나,2.5
도리연닭도리탕,3.82
인상적,4.0
닭한마리,3.36
공릉곱창,3.25
새우꺾기,3.43
서서방고깃집,3.5
돈부리,2.93
구법원,2.73
홍대개미,2.73
쉐이크쉑,3.35
스시통,3.0
아웃백스테이크하우스,3.0
위안바오,3.5
강강술래,2.88
광성반점,3.0
소문난멸치국수,2.83
제일콩집,3.14
하노이별,3.03
리프노즈드아쉬지,3.25
공릉동 도깨비,3.38
굿피자파스타,3.0
비스킷플로어,3.0
이너모스트,3.5
카페쉔,4.0
아소코,4.0
칸텐,3.78
마롱카롱,3.09
일상다반,3.2
상상과자점,3.36
오누이,3.45
시작이밤이다,3.25
생선까시,3.6
공릉모소리,5.0
미차이,2.5
싱싱오징어바다,3.0
잔월,3.1
공릉우동집,3.36
원조이모네연탄불곱창,3.07
7일간의양심,1.0
리틀파스타,3.83
로지스시,3.5
서브웨이,1.0
아고라커피,3.2
마이디어스윗,3.38
에이엔,4.29
더맛나곱창,3.33
핏짜굽는언니,3.5
유니온커피로스터,3.83
매일파스타,3.77
하나샤브샤브,3.6
당혹,2.83
이탈리안비스트로 쿠오레,3.2
빛나는바다,3.0
향과울림 coffeecacao,3.33
제주몸냥,2.0
가재골수제비,3.09
비와별닭갈비,4.0
대게나라(휴업중),2.0
스시박사,2.4
서가앤쿡,3.28
라공방,3.43
쭈꾸미달인,2.9
이자와,3.13
브롱스,3.6
감각,2.83
Jolly,3.2
노원목고기집,2.93
대가가마솥순대국,3.5
아오리의행방불명,3.33
이오냉면,3.0
구석집,3.33
대머리곱창,3.78
쯔이코,3.67
우애돈카츠,3.33
엄마손칼국수,3.57
두끼,3.7
아비꼬,2.81
곤바,3.2
선학쭈꾸미,4.67
플로레스테이블,3.0
시오코,2.87
쭈꾸미달인2,3.27
디저트카페바미,3.45
샛별제과,4.14
연어시장,3.8
스시다온,3.75
후아나,2.6
무명칼국수,3.79
이층블루스,3.43
엘밭,3.5
버거톤,4.29
토다이,2.0
아늑한주방,3.8
쿡앤밀107,2.5
호접몽,3.42
향림,2.67
라트커피,3.33
나우키친,3.0
크래버대게나라,2.5
유부김밥,3.67
최대섭대박김밥,3.75
문지원의열정스시,3.75
피노키오냉면,3.33
달밭소곱창,3.4
송화강식당,3.33
돈까스먹는용만이,3.53
상계역코코로돈가스,3.8
스윗레시피,4.0
원조닭갈비,3.33
감동식당,3.5
태능고향풍천장어,2.67
애플민트,3.6
테르미니,2.8
소라,2.67
오리마을,2.5
곰파곰파의 뜨라또리아,4.0
원성반점,3.56
감포면옥,2.5
도봉관,4.2
하누소,3.79
참만두,3.75
쉐프마인드,3.43
푸쿠푸쿠,3.89
세컨밀,3.0
광해수산,3.0
찰리네맥주집,3.5
더차우,3.67
맘스터치,3.29
덩어리,3.14
창동짬뽕,2.93
마쯔무라돈까스,3.92
마차이나,3.2
커피엘빈,4.0
모모커피,3.5
맥켄치킨,2.0
매그넘,3.5
스시황,2.4
셀라,3.5
착한전복,2.8
힘찬장어,4.0
피자꾼,5.0
디아망디저트,4.0
경우가,4.0
산도토리임자탕,3.25
성지족발,5.0
온도감,1.0
카페방학,4.0
라스커피,3.33
고기싸롱,4.0
미스터빽실장종합어시장,3.0
풍천장어직판장,4.0
함스브로트과자점,3.33
카페오픈더도어,3.0
스시화,3.0
제이크더레스토랑,3.17
우설화,4.0
쌍문족빨,5.0
599버거,3.5
씨앗플러스,3.0
경복궁,2.5
동해수산,3.0
고기굽는베베,3.5
경성주막1929,2.0
뚱가의정부부대찌개,3.0
미트스타킴,3.0
매일이 기념일,1.0
꽃돼지,4.0
달야,2.0
옛집갈비,4.5
동적불고기,3.8
영즉석떡볶이,3.0
트라토리아진,3.07
미랭디저트,2.0
스시혼,3.1
맥반석조개구이,3.2
블루밍,2.5
뮤즈서울,3.2
쌍문동홈떡,4.67
지니피자,3.33
스마일닭강정,3.5
미미,2.6
이코이,3.43
하나노마카롱,3.25
무궁화로스터즈,2.67
구월십일,3.4
그리너리티,4.0
겨리,3.0
베트남식당,3.5
카페고르,2.38
리틀방콕,2.43
화승꽈배기,3.5
노말키친,2.53
하이쿠,3.79
김화자카페,3.2
마이요거트서울,5.0
가배미혼,3.67
패멩베이커리,3.5
방카,2.0
쌍문동커피,3.77
면장우동,3.86
카페작약,3.33
글림,3.5
호호분식,2.0
포차더쎈,3.0
숲레스토랑,5.0
몽상가 크레이프 전문점,3.57
방학동이야기,2.5
햇살힐링식당,3.17
와스예떡볶이,5.0
에꼴드마카롱,4.0
뻬지아슈,3.33
알레싸,3.83
피자리아150길,3.33
와겐,3.83
호감,3.2
광릉불고기,2.0
카페 152길,3.38
카츠다담,5.0
우리할매떡볶이,3.29
뉴욕베이커리,3.0
곳간,3.33
수정각,3.5
묵은지사랑,3.17
무수옥,3.2
삼오집,2.78
소달구지,5.0
메이다이닝,3.33
이퓨레,4.0
써이포차나,3.67
홍방원,3.2
어랑,3.0
산과산사이커피로드,2.5
영수네감자국,3.0
도봉산양고기,3.83
이자카야빡,3.5
옹기꽃게장,3.0
도봉산커피,4.0
콩사랑두부,4.5
전라도옛맛손팥칼국수,3.0
인디언소울,5.0
88팬케익스,3.33
파린두스,2.4
버거브라더,2.6
메이콴,3.5
은행골,2.87
수수,2.67
정초밥,4.0
주인장이볶은커피,4.0
텐더크래커,4.0
백번가코다리,3.53
코지더힐,2.0
가마봉생고기,4.0
옥류짬뽕,3.2
비스트로슬로우,3.2
카페더로비,2.0
수정궁,3.6
윤짬뽕,3.36
카페306,3.33
봉평메밀촌,3.0
사거리짬뽕집,2.25
복진해물잔치마당,3.0
사이코우스시,3.4
황금성,4.0
엘수에뇨,2.33
도레미분식즉석떡볶이,2.83
산책,3.25
Comfort Cafe,3.67
고씨네,3.25
모람,3.25
누들아한타이,3.33
조이키친,1.8
카페레,3.0
Wake Up Good Night,3.5
도꼬정,1.0
너구리해장국,3.0
언니네키친,3.0
황금코다리,4.5
강남떡볶이,5.0
푸곱야채곱창,2.0
누드곱창,4.0
도본,3.8
더블도어,3.44
세평반부엌,3.5
하이투피플,3.0
멘야코노하카레,3.46
멘부리,4.0
쌍문동판다쓰,3.33
행복김밥,4.5
미소돈까스,1.5
일월생,3.5
카페비,5.0
카페오븐,3.0
명인소곱창,3.75
밀스,2.95
창동두리네곱창,3.0
엉클두,2.75
꿀소담,3.33
포유,3.25
고메즈,3.5
골목식당,3.33
크로네,3.0
포보,2.75
스시해나루,3.13
카페반창고,3.27
미연마라탕,3.4
백수씨심야식당,4.0
고황24시 뼈다귀해장국감자탕,3.53
Mods Place,3.8
유성관,3.45
8 Street,2.87
고기야미안해,2.67
배트콩,3.6
스시선생,3.33
와요,3.33
팔레트,4.0
부산밀면냉면,2.85
루데카,3.0
에잇올리,2.86
푸른하늘,3.21
키친요로시쿠,3.5
아라기,3.2
연어이야기,3.0
방앗간,4.33
춘천메밀막국수,3.0
안동집손칼국시,2.75
열정쭈꾸미,2.33
장안정,3.2
커피나인,3.2
원더월커피로스터스,3.5
맨손의스시 ,3.9
커피그라운즈,3.2
프리카페,3.67
답십리별미,4.0
골목길빵공작소,3.8
술사와,3.4
디어테이블,2.85
백정스테이크바,3.8
망우로30,3.2
베러댄,4.0
빵쌤,2.78
놀부만두,3.3
꽃갈피,3.8
이모네파전,3.0
경발원,3.86
봉이만두,2.4
와레와레쿡,3.6
빈칸,2.8
나정순할매쭈꾸미,2.9
용두동쭈꾸미,3.38
장안면옥,3.25
정편백,3.0
닛시스시,3.0
고래돈가스,3.67
카페파인,3.25
비나,3.6
감초식당,3.64
키라쿠,3.25
히든트랙,3.2
