,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
876,이자카야빡,최신 버전 앱,서울특별시 도봉구 도봉산1길 66 1F,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/bZU1EwxwIFSV
877,함스브로트과자점,최신 버전 앱,서울특별시 도봉구 도봉로 483,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/U_7z4Ts8oD
878,고씨네,최신 버전 앱,서울특별시 도봉구 삼양로144길 25-11,"
돈부리 / 일본 카레 / 벤토
",만원 미만,https://www.mangoplate.com//restaurants/0ieJRYD1V6
879,채선당,최신 버전 앱,서울특별시 도봉구 도봉로 533,"
탕 / 찌개 / 전골
",만원-2만원,https://www.mangoplate.com//restaurants/4d8VnjWqpV
880,착한전복,최신 버전 앱,서울특별시 도봉구 노해로65길 7-20 1-2F,"
해산물 요리
",,https://www.mangoplate.com//restaurants/RKc5Cw9IuM
881,강남떡볶이,최신 버전 앱,서울특별시 도봉구 시루봉로 71,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/VkaKfS4GXNsc
882,삼오집,최신 버전 앱,서울특별시 도봉구 도봉로165길 4,"
고기 요리
",,https://www.mangoplate.com//restaurants/XOE_JR9tgo
883,파린두스,최신 버전 앱,서울특별시 도봉구 마들로 657,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/687sJOSmm49B
884,옹기꽃게장,최신 버전 앱,서울특별시 도봉구 도봉산4가길 14-9,"
한정식 / 백반 / 정통 한식
",만원-2만원,https://www.mangoplate.com//restaurants/KG-mN2-SHR
885,소달구지,최신 버전 앱,서울특별시 도봉구 도봉로168길 19,"
고기 요리
",2만원-3만원,https://www.mangoplate.com//restaurants/Up8f_wS-_zpu
886,치어스,최신 버전 앱,서울특별시 도봉구 도당로 40,"
치킨 / 호프 / 펍
",만원-2만원,https://www.mangoplate.com//restaurants/wY3ypbjPYa
887,밀스,최신 버전 앱,서울특별시 도봉구 해등로16길 46,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/-d01veiT6jD_
888,은행골,최신 버전 앱,서울특별시 도봉구 마들로 684,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/lE-NyI-jBq
889,와겐,최신 버전 앱,서울특별시 도봉구 도봉로150마길 15,만원 미만,무료주차 가능 ,https://www.mangoplate.com//restaurants/l5PQ6MMbl9u_
890,누드곱창,최신 버전 앱,서울특별시 도봉구 시루봉로6길 93,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/NvlrUMA0qq
891,산도토리임자탕,최신 버전 앱,서울특별시 도봉구 덕릉로60길 13,"
기타 한식
",,https://www.mangoplate.com//restaurants/BfLSanKxPC
892,옥류짬뽕,최신 버전 앱,서울특별시 도봉구 방학로 107,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/4uQK5vXay-3g
893,우리할매떡볶이,최신 버전 앱,서울특별시 도봉구 도봉로152길 32 1F 102호,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/PLMIfRHbj18s
894,미랭디저트,최신 버전 앱,서울특별시 도봉구 도봉로110길 40 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/nzlEFL8SfTkl
895,쌍문동홈떡,최신 버전 앱,서울특별시 도봉구 도봉로110바길 32,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/Bl350RCzkydp
896,지니피자,최신 버전 앱,서울특별시 도봉구 도봉로110아길 12 1F,"
기타 양식
",만원-2만원,https://www.mangoplate.com//restaurants/7FFxmYK-H0nL
897,매그넘,최신 버전 앱,서울특별시 도봉구 노해로63다길 7-17,"
치킨 / 호프 / 펍
",만원-2만원,https://www.mangoplate.com//restaurants/KwkE6L9_VBFk
898,하이투피플,최신 버전 앱,서울특별시 도봉구 우이천로 483,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/mWZ7e2lIm3sb
899,스카이호프,최신 버전 앱,서울특별시 도봉구 도봉로 730,"
치킨 / 호프 / 펍
",만원 미만,https://www.mangoplate.com//restaurants/upOdOWE1Ya9r
900,하나노마카롱,최신 버전 앱,서울특별시 도봉구 도봉로112길 22 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/3cQnoBBx-Zl5
901,카페오픈더도어,최신 버전 앱,서울특별시 도봉구 도봉로 489 2F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/7QajT0sG681b
902,라스커피,최신 버전 앱,서울특별시 도봉구 도봉로 441 드림하우스 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/EBqEjypOwwkp
903,쌍문족빨,최신 버전 앱,서울특별시 도봉구 도봉로 585,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/WQ3V4ABKnYgh
904,곳간,"
                              4.5
                            ",서울특별시 도봉구 도봉로154길 35 1F,"
퓨전 일식
",만원 미만,https://www.mangoplate.com//restaurants/35o56Vqsw8tm
905,커피엘빈,최신 버전 앱,서울특별시 도봉구 노해로63다길 41 1F 101호,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/3cSddY90FTa3
906,그리너리티,최신 버전 앱,서울특별시 도봉구 도봉로112길 27 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/Jhg2EwWwmopU
907,숲레스토랑,최신 버전 앱,서울특별시 도봉구 도봉로134길 28 1F,"
다국적 퓨전
",만원-2만원,https://www.mangoplate.com//restaurants/6Q8icC3tKPfX
908,정초밥,최신 버전 앱,서울특별시 도봉구 마들로 724 상가동 103호,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/gttKFTTcvs_Y
909,푸곱야채곱창,최신 버전 앱,서울특별시 도봉구 시루봉로17길 4,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/bGVnoL3A77hK
910,대군코다리,최신 버전 앱,서울특별시 도봉구 도봉산4가길 13-8,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/r1nRnRSHkomR
911,써이포차나,최신 버전 앱,서울특별시 도봉구 도봉로169나길 42,"
태국 음식
",만원 미만,https://www.mangoplate.com//restaurants/5nMiPYlGyTaM
912,삿뽀로,최신 버전 앱,서울특별시 도봉구 도봉로 610,"
정통 일식 / 일반 일식
",2만원-3만원,https://www.mangoplate.com//restaurants/7gKdcJyH_u
913,명인소곱창,최신 버전 앱,서울특별시 도봉구 해등로16길 42,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/WydQE_X1BN
914,블루밍,최신 버전 앱,서울특별시 도봉구 도봉로110다길 38 204동 102호,"
브런치 / 버거 / 샌드위치
",만원 미만,https://www.mangoplate.com//restaurants/x3Bnaku0SCzB
915,Comfort Cafe,최신 버전 앱,서울특별시 도봉구 삼양로144길 19,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/AtXznWYnyxvv
916,광릉불고기,최신 버전 앱,서울특별시 도봉구 도봉로152길 29-4,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/JD1-qN7G-kXe
917,마포돼지네,최신 버전 앱,서울특별시 도봉구 도당로13길 32,만원 미만,,https://www.mangoplate.com//restaurants/bEeiQw99WtpD
918,맘스터치,최신 버전 앱,서울특별시 도봉구 노해로63길 67,"
브런치 / 버거 / 샌드위치
",만원 미만,https://www.mangoplate.com//restaurants/27uDEP4wkmzB
919,영수네감자국,최신 버전 앱,서울특별시 도봉구 도봉로181길 86,"
탕 / 찌개 / 전골
",만원-2만원,https://www.mangoplate.com//restaurants/Ua-qCRjZAM
920,스시황,최신 버전 앱,서울특별시 도봉구 노해로65길 11 한성빌딩,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/PMmOgL4hO3
921,등촌샤브칼국수,최신 버전 앱,서울특별시 도봉구 덕릉로54길 23,"
국수 / 면 요리
",만원-2만원,https://www.mangoplate.com//restaurants/a7L-OnBRUA
922,카페306,최신 버전 앱,서울특별시 도봉구 방학로 306,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/MEufUVTRNqBC
923,방카,최신 버전 앱,서울특별시 도봉구 도봉로116길 43,만원 미만,주차공간없음 ,https://www.mangoplate.com//restaurants/2XgdyvZItb
924,경우가,최신 버전 앱,서울특별시 도봉구 덕릉로 282-1,"
탕 / 찌개 / 전골
",만원 미만,https://www.mangoplate.com//restaurants/sNfpzu8dYs7m
925,맥켄치킨,최신 버전 앱,서울특별시 도봉구 노해로63다길 6,"
닭 / 오리 요리
",만원-2만원,https://www.mangoplate.com//restaurants/z-Afm3eeg6Hl
926,제이크더레스토랑,최신 버전 앱,서울특별시 도봉구 도봉로 517,"
이탈리안
",만원-2만원,https://www.mangoplate.com//restaurants/17N8qeeEqm
927,마차이나,최신 버전 앱,서울특별시 도봉구 노해로63길 84 우림빌딩 2F,"
정통 중식 / 일반 중식
",만원-2만원,https://www.mangoplate.com//restaurants/q6dUr4-fZcIP
928,씨앗플러스,최신 버전 앱,서울특별시 도봉구 도봉로 602-10,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/wEcJICK8ineg
929,복진해물잔치마당,최신 버전 앱,서울특별시 도봉구 방학로11길 101 2F,"
해산물 요리
",3만원-4만원,https://www.mangoplate.com//restaurants/dgfXAsylwH
930,영즉석떡볶이,최신 버전 앱,서울특별시 도봉구 도봉로109길 35-26,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/2TZCeA2beVrx
931,봉평메밀촌,최신 버전 앱,서울특별시 도봉구 방학로 31-16 신일빌딩,"
국수 / 면 요리
",만원 미만,https://www.mangoplate.com//restaurants/Hsy5QPgT8avy
932,뚱가의정부부대찌개,최신 버전 앱,서울특별시 도봉구 도봉로 869,"
탕 / 찌개 / 전골
",,https://www.mangoplate.com//restaurants/-zGaPdnc1y
933,텐더크래커,최신 버전 앱,서울특별시 도봉구 마들로11가길 6-25 1F 104호,"
닭 / 오리 요리
",만원 미만,https://www.mangoplate.com//restaurants/5sLagUKVe2HN
934,가마봉생고기,최신 버전 앱,서울특별시 도봉구 마들로18길 35,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/ErHaR2GFYhJg
935,소통애,최신 버전 앱,서울특별시 도봉구 도봉로136가길 73 북한산한신휴플러스아파트상가 104동 104호,"
고기 요리
",3만원-4만원,https://www.mangoplate.com//restaurants/oW2xk5R6W5t0
936,멘부리,최신 버전 앱,서울특별시 도봉구 우이천로24길 40 1F,"
라멘 / 소바 / 우동
",만원 미만,https://www.mangoplate.com//restaurants/eNvj1CYE9C6k
937,셀라,최신 버전 앱,서울특별시 도봉구 노해로65길 11 한성빌딩 107호,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/QQ3X5eVNuNqw
938,베트남식당,최신 버전 앱,서울특별시 도봉구 도봉로112길 35 1F,"
베트남 음식
",만원 미만,https://www.mangoplate.com//restaurants/pRkmzYZUppJ5
939,광해수산,최신 버전 앱,서울특별시 도봉구 노해로63가길 22,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/c6BRkCwLA2
940,마이요거트서울,"
                              4.7
                            ",서울특별시 도봉구 도봉로114길 60-5,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/9oZ3EBhS6Bj0
941,조이키친,최신 버전 앱,서울특별시 도봉구 삼양로144길 3-8,"
퓨전 한식
",만원 미만,https://www.mangoplate.com//restaurants/CcwwvNUyIeGG
942,황금성,최신 버전 앱,서울특별시 도봉구 삼양로 544 2F,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/31_U4vnhiMjY
943,모람,최신 버전 앱,서울특별시 도봉구 삼양로144길 25-11,"
한정식 / 백반 / 정통 한식
",만원 미만,https://www.mangoplate.com//restaurants/2Zs-S3SYUl
944,세컨밀,최신 버전 앱,서울특별시 도봉구 노해로60길 9,"
스테이크 / 바베큐
",만원-2만원,https://www.mangoplate.com//restaurants/QygOukrcnRt-
945,더차우,최신 버전 앱,서울특별시 도봉구 노해로63가길 63 창동신도브래뉴1차상가 2F,"
정통 중식 / 일반 중식
",만원 미만,https://www.mangoplate.com//restaurants/OOrBbUUAZrTk
946,방학동이야기,최신 버전 앱,서울특별시 도봉구 도봉로146길 40,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/ltlqeiGv82_6
947,산과산사이커피로드,최신 버전 앱,서울특별시 도봉구 도봉로180가길 96 승리빌딩 4F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/cijTEhjB8M
948,행복김밥,최신 버전 앱,서울특별시 도봉구 해등로 128,"
기타 한식
",만원 미만,https://www.mangoplate.com//restaurants/LzjwFctp_3sb
949,전라도옛맛손팥칼국수,최신 버전 앱,서울특별시 도봉구 도봉산4나길 11-5,"
국수 / 면 요리
",만원 미만,https://www.mangoplate.com//restaurants/nEKYz42S-VEh
950,매일이 기념일,최신 버전 앱,서울특별시 도봉구 도봉로103길 11,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/-ehFuR-Kz7_X
951,미트스타킴,최신 버전 앱,서울특별시 도봉구 도봉로103길 10 1F,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/dTMh4zvx4NwL
952,모모커피,최신 버전 앱,서울특별시 도봉구 노해로63다길 55 1F,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/MBkDU1auIXQX
953,뉴욕베이커리,최신 버전 앱,서울특별시 도봉구 도봉로153길 39,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/4wWuwoh8qat8
954,이퓨레,최신 버전 앱,서울특별시 도봉구 도봉로169나길 40,"
이탈리안
",만원 미만,https://www.mangoplate.com//restaurants/xkhOyMftL1_E
