이름,평점,주소,좌표,구,위도,경도,Cluster
진우리참치,3.7,서울특별시 관악구 봉천로 472,"(37.48185650000001, 126.9522114)",관악구,37.4818565,126.95221140000001,[13]
야간얼큰우동,3.7,서울특별시 관악구 남부순환로226길 13,"(37.4798947, 126.9539144)",관악구,37.4798947,126.9539144,[13]
세미온,3.7,서울특별시 관악구 호암로22길 81,"(37.4685634, 126.9372746)",관악구,37.468563399999994,126.93727460000001,[14]
카페미뇽,3.7,서울특별시 관악구 관악로14길 76,"(37.47821750000001, 126.9566196)",관악구,37.4782175,126.9566196,[13]
리앙크리스피롤,3.7,서울특별시 관악구 남부순환로 1820,"(37.4809094, 126.9520957)",관악구,37.4809094,126.95209569999999,[13]
디자이너리카페,3.7,서울특별시 관악구 관천로 71-1 4F,"(37.4850079, 126.9240883)",관악구,37.4850079,126.9240883,[16]
문득,3.7,서울특별시 관악구 관악로14길 8,"(37.4790747, 126.9529942)",관악구,37.479074700000005,126.9529942,[13]
링고,3.7,서울특별시 관악구 신림로 85,"(37.4702891, 126.9399069)",관악구,37.4702891,126.93990690000001,[14]
르브와,3.7,서울특별시 관악구 신원로 34,"(37.4817818, 126.9292056)",관악구,37.4817818,126.92920559999999,[16]
안녕과자점,3.6,서울특별시 관악구 남부순환로228길 20 1F,"(37.4788338, 126.9547862)",관악구,37.4788338,126.9547862,[13]
월화고기,3.6,서울특별시 관악구 보라매로3길 16 1F,"(37.4915849, 126.9262895)",관악구,37.4915849,126.9262895,[]
몽중인,3.6,서울특별시 관악구 관악로14가길 13 1F,"(37.4777577, 126.9560855)",관악구,37.477757700000005,126.9560855,[13]
온고지신,3.6,서울특별시 관악구 관악로14길 101,"(37.4778732, 126.9579426)",관악구,37.477873200000005,126.9579426,[13]
삼백돈 돈가츠,3.6,서울특별시 관악구 남부순환로230길 48,"(37.4779581, 126.9552031)",관악구,37.4779581,126.95520309999999,[13]
김창일스시,3.6,서울특별시 관악구 인헌길 7,"(37.4732894, 126.9674051)",관악구,37.4732894,126.9674051,[13]
라페리체,3.6,서울특별시 관악구 관악로14길 34 B1,"(37.4788101, 126.9543478)",관악구,37.478810100000004,126.9543478,[13]
만성찬팅,3.6,서울특별시 관악구 신림로 322-4,"(37.4830371, 126.9304077)",관악구,37.483037100000004,126.9304077,[16]
꼬르동,3.6,서울특별시 관악구 관악로14길 89 1F,"(37.4781271, 126.9574009)",관악구,37.4781271,126.95740090000001,[13]
산골,3.6,서울특별시 관악구 관악로 211,"(37.4839807, 126.9541921)",관악구,37.483980700000004,126.95419209999999,[13]
미친키친,3.6,서울특별시 관악구 남부순환로 1913 2F,"(37.477909, 126.9620089)",관악구,37.477909000000004,126.96200890000001,[13]
구로곱창,3.6,서울특별시 관악구 조원로 9,"(37.4835871, 126.903521)",관악구,37.4835871,126.903521,[17]
만두작만두작,3.6,서울특별시 관악구 관악로24길 60,"(37.4853706, 126.9573003)",관악구,37.4853706,126.9573003,[13]
라공방,3.6,서울특별시 관악구 관악로 163,"(37.4798366, 126.9520327)",관악구,37.479836600000006,126.9520327,[13]
Lees Pancake,3.6,서울특별시 관악구 관악로12길 23 1F,"(37.4781001, 126.9537359)",관악구,37.4781001,126.95373590000001,[13]
삼미제면,3.6,서울특별시 관악구 관악로14길 50,"(37.4785352, 126.9552584)",관악구,37.4785352,126.9552584,[13]
다부찌,3.6,서울특별시 관악구 호암로24길 43,"(37.4695271, 126.9356286)",관악구,37.4695271,126.93562859999999,[14]
길초밥,3.6,서울특별시 관악구 남부순환로 1600-24 1F,"(37.4834123, 126.9291608)",관악구,37.4834123,126.9291608,[16]
생각보다맛있는집,3.6,서울특별시 관악구 봉천로 236,"(37.48913, 126.9275346)",관악구,37.489129999999996,126.92753459999999,[16]
노다지,3.6,서울특별시 관악구 관악로16길 36 2F,"(37.4797237, 126.9545454)",관악구,37.4797237,126.95454540000001,[13]
황토방,3.6,서울특별시 관악구 관악로12길 6 2F,"(37.4780533, 126.9527314)",관악구,37.4780533,126.9527314,[13]
자하연식당,3.6,서울특별시 관악구 관악로 1 생활협동조합 3F,"(37.4602626, 126.9535979)",관악구,37.4602626,126.9535979,[]
여신족발,4.3,서울특별시 금천구 벚꽃로38길 21,"(37.482233, 126.8842866)",금천구,37.482233,126.8842866,[17]
김사부샤브샤브 무한리필,4.3,서울특별시 금천구 가산로 132,"(37.4772366, 126.8920342)",금천구,37.477236600000005,126.8920342,[17]
